course_id,course_code,description
A2,DA4M2,da4 module 2
A3,DA4M3,da4 module 3
A6,DA4M6,da4 module 6
E2,DE5M2,de5 module 2
E3,DE5M3,de5 module 3
E4,DE5M4,de5 module 4
